ProjectID,Date,Origin,Destination,Modo,0_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94
42,2019-11-24,104:202,149:121,bus,,,,,,,,,11.0,,,,,,,,
42,2019-11-24,104:202,149:121,private_transport,,,,,,,22.0,,,,,,,,,,
42,2019-11-24,104:202,154:132,private_transport,,,,,,,,,,,,22.0,,,,,
42,2019-11-24,104:202,156:130,bus,,,,,,,10.0,,,,,,,,,,
42,2019-11-24,104:202,156:130,private_transport,,,,26.0,,,30.0,,,,,,,,,,
42,2019-11-24,104:202,45:319,private_transport,13.0,,,17.0,,,15.0,,30.0,,,,,,,,
42,2019-11-24,104:202,47:320,private_transport,,,,,,,10.0,,,,,,,,,,
42,2019-11-24,104:202,50:412,private_transport,117.0,,44.0,,41.0,10.0,,29.0,,,,,,,,,
42,2019-11-24,104:202,56:416,private_transport,173.0,,,,49.0,,,,,,,,,,,,
42,2019-11-24,104:202,58:303,bus,10.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,58:303,private_transport,43.0,,,,,,,,,,18.0,,,,,,
42,2019-11-24,104:202,86:105,private_transport,12.0,,,,,,10.0,,,,,,,,,,
42,2019-11-24,104:202,89:118,private_transport,,,,,,,,,,,,11.0,,,,,
42,2019-11-24,104:202,9:509,private_transport,41.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,104:202,bus,,,,,,,,,,14.0,,,,,,,
42,2019-11-24,104:202,104:202,microtrip,,,11.0,14.0,16.0,10.0,21.0,,,,,,,,,,
42,2019-11-24,104:202,104:202,private_transport,62.0,,30.0,68.0,,97.0,,10.0,21.0,11.0,,,,,,,
42,2019-11-24,104:202,109:169,private_transport,,,,,34.0,10.0,,,,,,,,,,,
42,2019-11-24,104:202,111:167,bus,,,,,,,,,17.0,,,,,,,,
42,2019-11-24,104:202,111:167,microtrip,,,20.0,,,12.0,19.0,,11.0,,,,,,,,
42,2019-11-24,104:202,111:167,private_transport,17.0,,83.0,56.0,,66.0,44.0,90.0,44.0,16.0,,,,,,,
42,2019-11-24,104:202,121:165,private_transport,17.0,,17.0,,,,,19.0,17.0,,,,,,,,
42,2019-11-24,104:202,131:139,private_transport,,,,,,,,,,,14.0,,,,,,
42,2019-11-24,104:202,135:135,private_transport,,,,,,,,,,10.0,,,,,,,
42,2019-11-24,104:202,137:149,private_transport,,,,12.0,,,,,,,,,,,,,
42,2019-11-24,104:202,25:525,private_transport,21.0,,,,26.0,,,,,,,,,,,,
42,2019-11-24,104:202,32:532,private_transport,,,,,,,,59.0,,,,,,,,,
42,2019-11-24,104:202,48:301,private_transport,44.0,,,12.0,,,,,,,,,,,,,
42,2019-11-24,104:202,54:419,private_transport,77.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,72:411,private_transport,80.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,77:312,private_transport,17.0,,,25.0,,,,,,,,,,,,,
42,2019-11-24,104:202,78:302,microtrip,,,,,,,,,10.0,,,,,,,,
42,2019-11-24,104:202,78:302,private_transport,,,,,,13.0,,,,,,,,,,,
42,2019-11-24,104:202,84:107,private_transport,,,,,,,10.0,,,,,,,,,,
42,2019-11-24,104:202,85:106,private_transport,13.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,87:104,private_transport,19.0,,27.0,,,,,,,,,,,,,,
42,2019-11-24,104:202,93:114,private_transport,,,,,,12.0,,,,,,,,,,,
42,2019-11-24,104:202,95:112,private_transport,25.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,105:201,microtrip,,,,,,,10.0,,,,,,,,,,
42,2019-11-24,104:202,105:201,private_transport,,,,24.0,,44.0,,,,,,,,,,,
42,2019-11-24,104:202,112:158,private_transport,,,,,,,,11.0,,,,,,,,,
42,2019-11-24,104:202,113:157,private_transport,10.0,,,,,,,,,,11.0,,,,,,
42,2019-11-24,104:202,114:156,microtrip,,,,11.0,,,,,,,,,,,,,
42,2019-11-24,104:202,132:138,private_transport,10.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,134:136,private_transport,,,,,,,11.0,,,,,,,,,,
42,2019-11-24,104:202,157:129,private_transport,,,14.0,,,,11.0,25.0,19.0,,,,,,,,
42,2019-11-24,104:202,19:519,private_transport,21.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,20:520,private_transport,24.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,41:404,private_transport,,,,,30.0,,,,,,,,,,,,
42,2019-11-24,104:202,43:403,private_transport,,,,,,61.0,,,,,,,,,,,
42,2019-11-24,104:202,46:420,private_transport,129.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,51:308,private_transport,,,,17.0,,,,,,,,,,,,,
42,2019-11-24,104:202,65:410,private_transport,,,,,10.0,,,,,,,,,,,,
42,2019-11-24,104:202,6:506,private_transport,13.0,,,,,,,,,,,,,,,,
42,2019-11-24,104:202,92:115,private_transport,,,,10.0,,,,,,,,,,,,,
42,2019-11-24,104:202,94:113,private_transport,,,,,12.0,,,,,,,,,,,,
42,2019-11-24,105:201,106:208,microtrip,,,,10.0,,,,12.0,13.0,,,,,,,,
42,2019-11-24,105:201,106:208,private_transport,,,,,,,,25.0,,,13.0,,,,,,
42,2019-11-24,105:201,107:207,private_transport,,,21.0,26.0,,,,11.0,,,,,,,,,
42,2019-11-24,105:201,144:126,private_transport,,,,,,,13.0,,,,,,,,,,
42,2019-11-24,105:201,147:123,private_transport,,,,,,,,18.0,,,,,,,,,
42,2019-11-24,105:201,159:127,private_transport,45.0,,,,,,31.0,,,,,,,,,,
42,2019-11-24,105:201,57:310,microtrip,,,,10.0,,13.0,,,,,,,,,,,
42,2019-11-24,105:201,57:310,private_transport,,,,,,,,13.0,,,,,,,,,
42,2019-11-24,105:201,61:413,private_transport,,,,,,,62.0,44.0,,,,,,,,,
42,2019-11-24,105:201,68:315,private_transport,,,,,,,50.0,,,10.0,,,,,,,
42,2019-11-24,105:201,83:108,private_transport,,,,,,,,,,,40.0,,,,,,
42,2019-11-24,105:201,98:217,private_transport,,,,,15.0,,,15.0,,,,,,,,,
42,2019-11-24,105:201,99:101,private_transport,40.0,,,27.0,,,,,,,,,,,,,
42,2019-11-24,105:201,110:168,private_transport,10.0,,,,23.0,,27.0,,,,,,,,,,
42,2019-11-24,105:201,145:125,private_transport,14.0,,,11.0,,,,,,,,,,,,,
42,2019-11-24,105:201,153:133,private_transport,,,,17.0,,,,,,,,,,,,,
42,2019-11-24,105:201,154:132,private_transport,,,,13.0,,,,,,,,,,,,,
42,2019-11-24,105:201,47:320,private_transport,,,,,,,13.0,,,,,,,,,,
42,2019-11-24,105:201,50:412,private_transport,12.0,,,,,,,,,,,,,,,,
42,2019-11-24,105:201,56:416,private_transport,,,,,,,,,75.0,,,,,,,,
42,2019-11-24,105:201,76:314,private_transport,,,,,,,17.0,,,,,,,,,,
42,2019-11-24,105:201,9:509,private_transport,,,,,13.0,,,,11.0,,,,,,,,
42,2019-11-24,105:201,104:202,private_transport,,,,,,24.0,10.0,11.0,,,,,,,,,
42,2019-11-24,105:201,109:169,bus,,,,,10.0,,,,,,,,,,,,
42,2019-11-24,105:201,109:169,private_transport,,,,,12.0,,,,,,,,,,,,
42,2019-11-24,105:201,121:165,private_transport,,,,,,,17.0,,,,,,,,,,
42,2019-11-24,105:201,150:120,bus,,,,,11.0,,,,,,,,,,,,
42,2019-11-24,105:201,276:144,private_transport,,,,,19.0,,,,,,,,,,,,
42,2019-11-24,105:201,87:104,private_transport,24.0,,,,,,,,,,,,,,,,
42,2019-11-24,105:201,91:116,private_transport,18.0,,,,,,,,,,,,,,,,
42,2019-11-24,105:201,93:114,private_transport,,,,,15.0,,,,,,,,,,,,
42,2019-11-24,105:201,95:112,private_transport,,,,,,,,23.0,,,,,,,,,
42,2019-11-24,105:201,105:201,microtrip,,,,,,,,,11.0,,,,,,,,
42,2019-11-24,105:201,105:201,private_transport,,,10.0,,,22.0,,18.0,,,12.0,,,,,,
42,2019-11-24,105:201,112:158,private_transport,,,11.0,16.0,,,,11.0,,,,,,,,,
42,2019-11-24,105:201,113:157,private_transport,,,,,,,,15.0,,,,,,,,,
42,2019-11-24,105:201,114:156,private_transport,,,,,,,,27.0,,,,,,,,,
42,2019-11-24,105:201,132:138,private_transport,,,,,,,,10.0,,,,,,,,,
42,2019-11-24,105:201,157:129,bus,,,,,11.0,,,,,,,,,,,,
42,2019-11-24,105:201,157:129,private_transport,,,,,,,18.0,,,,,,,,,,
42,2019-11-24,105:201,20:520,private_transport,12.0,,,,,,,,,,,,,,,,
42,2019-11-24,105:201,46:420,private_transport,23.0,,,,,,,,,,,,,,,,
42,2019-11-24,105:201,51:308,private_transport,,,,,,13.0,,,,,,,,,,,
42,2019-11-24,105:201,94:113,bus,,,,,11.0,,,,,,,,,,,,
42,2019-11-24,105:201,123:163,private_transport,,,,,10.0,,,,,,,,,,,,
42,2019-11-24,105:201,148:122,private_transport,,,,,29.0,33.0,,,,,,,,,,,
42,2019-11-24,105:201,79:415,private_transport,,,,,,,,,10.0,,,,,,,,
42,2019-11-24,106:208,106:208,private_transport,,,,,,11.0,,16.0,,,,,,,,,
42,2019-11-24,106:208,107:207,microtrip,,,,,,,10.0,,,,,,,,,,
42,2019-11-24,106:208,107:207,private_transport,11.0,,,10.0,,,,,,,,12.0,,,,,
42,2019-11-24,106:208,144:126,private_transport,10.0,,,,,,,,,,,,,,,,
42,2019-11-24,106:208,159:127,private_transport,25.0,,,,,,14.0,,,,,,,,,,
