ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359,Total_M,Total_T,Total_MT,Total,Chave_O+D
7,2019-11-17,102,140,private_transport,,,,,,,,,11,,,,,,,,,,,,,,,,11,0,11,11,102_140
7,2019-11-17,102,144,microtrip,,,,,,,,,,,,,,,13,13,,,,,,,,,0,0,0,26,102_144
7,2019-11-17,102,144,private_transport,,,,,,,,,,,,30,,,12,16,,,,,,,,,0,0,0,58,102_144
7,2019-11-17,102,145,bus,,,,,,,,,,,,,,,,,,34,,,,,,,0,34,34,34,102_145
7,2019-11-17,102,145,private_transport,29,,,,,,,,,,,,,,,,,44,,,,,,,0,44,44,73,102_145
7,2019-11-17,102,146,bus,,,,,,,,,,,,,,,,,,24,,,,,,,0,24,24,24,102_146
7,2019-11-17,102,146,private_transport,20,,,,,,,,,,,,,,,,,30,,,,,,,0,30,30,50,102_146
7,2019-11-17,102,147,private_transport,33,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,33,102_147
7,2019-11-17,102,149,microtrip,,,,,,,,,,,,,,,,,,,11,,,,,,0,11,11,11,102_149
7,2019-11-17,102,152,private_transport,47,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,47,102_152
7,2019-11-17,102,154,private_transport,40,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,40,102_154
7,2019-11-17,102,158,bus,,,,,,,,,,,,,,,,,,,,12,,,,,0,0,0,12,102_158
7,2019-11-17,102,158,private_transport,,,,,,,,,,,,,,,,,,,,24,,,,,0,0,0,24,102_158
7,2019-11-17,102,159,microtrip,17,,,,,,,,36,33,28,41,35,45,31,20,14,37,59,27,20,45,35,11,36,96,132,534,102_159
7,2019-11-17,102,159,private_transport,,,,,,,,,11,,,,18,,,10,,12,13,,,,,,11,25,36,64,102_159
7,2019-11-17,102,160,bus,,,,,,,,,38,,16,11,,,,,,,,,,,,,38,0,38,65,102_160
7,2019-11-17,102,160,microtrip,38,,21,10,23,,30,31,37,68,51,69,114,53,48,50,41,70,84,95,20,47,37,19,68,154,222,1056,102_160
7,2019-11-17,102,160,private_transport,,,,12,,,,12,81,15,18,,18,,,,,,13,,,,,,93,13,106,169,102_160
7,2019-11-17,102,163,microtrip,14,,,,,,,,,,12,,,,13,,,,,,21,,,15,0,0,0,75,102_163
7,2019-11-17,102,164,bus,,,,,,,,,,,,,,,,,,,11,,,,,,0,11,11,11,102_164
7,2019-11-17,102,164,microtrip,14,,14,10,,,15,17,,31,26,28,18,11,12,17,34,19,19,23,,15,14,17,17,38,55,354,102_164
7,2019-11-17,102,164,private_transport,,,,,,,,,30,,,,,,,,,,21,,,12,,,30,21,51,63,102_164
7,2019-11-17,102,165,microtrip,18,,,10,,10,,,,,18,,12,18,30,31,,,20,10,,,,,0,20,20,177,102_165
