ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0300_0359,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2200_2259
40,2020-03-11,138:148,87:104,private_transport,,,,,,,,,,11.0,,,,,,,,,
40,2020-03-11,138:148,91:116,bus,,,,,,,,,,10.0,,,,,,,,,
40,2020-03-11,138:148,157:129,bus,,,,,,,,,,,,,,,,,,,12.0
40,2020-03-11,138:148,157:129,private_transport,,,,,,,,,,,,,,,,,,,11.0
40,2020-03-11,138:148,68:315,bus,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-11,138:148,150:120,bus,,,,,,,,,,,,,,,,,,,11.0
40,2020-03-11,139:147,109:169,bus,,,,,,,,,,10.0,,,,,,,,,
40,2020-03-11,139:147,76:314,bus,,,,,,,16.0,,,,,,,,,,,,
40,2020-03-11,139:147,76:314,private_transport,,,,,,,20.0,,,,,,,,,,,,
40,2020-03-11,139:147,98:217,private_transport,,,,,,,,,,11.0,,,,,,,,,
40,2020-03-11,140:146,76:314,bus,,,,,,,37.0,,,,,,,,,,,,
40,2020-03-11,140:146,76:314,private_transport,,,,,,,30.0,,,,,,,,,,,,
40,2020-03-11,141:145,76:314,bus,,,,,,,31.0,,,,,,,,,,,,
40,2020-03-11,141:145,76:314,private_transport,,,,,,,28.0,,,,,,,,,,,,
40,2020-03-11,143:143,50:412,bus,,,,,,,,,,,,29.0,,,,,,,
40,2020-03-11,143:143,50:412,private_transport,,,,,,,,,,,,10.0,,,,,,,
40,2020-03-11,143:143,90:117,bus,,,,12.0,,,,,,,,,,,,,,,
40,2020-03-11,144:126,87:104,bus,,,,,,,,,,,10.0,,,,,,,,
40,2020-03-11,144:126,58:303,private_transport,,,,,,,24.0,,,,,,,,,,,,
40,2020-03-11,145:125,76:314,bus,,,,,,,11.0,,,,,,,,,,,,
40,2020-03-11,147:123,110:168,bus,,,,,,,,,,,,,,,,,,13.0,
40,2020-03-11,147:123,111:167,private_transport,,,,,,,,,,,,,,,,,,11.0,
40,2020-03-11,147:123,158:128,private_transport,,,,,,,,,,,,,,12.0,,,,,
40,2020-03-11,148:122,148:122,bus,,,,67.0,,,,,,,,,,,,,,,
40,2020-03-11,148:122,148:122,private_transport,,,,22.0,,,,,,,,,,,,,,,
40,2020-03-11,148:122,104:202,private_transport,,,,,,,,,,,47.0,,,,,,,,
40,2020-03-11,148:122,111:167,bus,,,,14.0,,,,,,,,,,,,,,,
40,2020-03-11,148:122,111:167,private_transport,,,,,,,,,,,38.0,,,,,,,,
40,2020-03-11,148:122,144:126,bus,,,,,,,,,,,,,,,,,,15.0,
40,2020-03-11,148:122,87:104,bus,,,,,,,,,,,,,,,,,,41.0,
40,2020-03-11,148:122,87:104,private_transport,,,,,,,,,,,,,,,,,,17.0,
40,2020-03-11,148:122,91:116,bus,,,,,,,,,,,,,,,,,,16.0,
40,2020-03-11,148:122,91:116,private_transport,,,,,,,,,,,,,,,,,,18.0,
40,2020-03-11,148:122,157:129,private_transport,,,,11.0,,,,,,,,,,,,,,,
40,2020-03-11,148:122,56:416,private_transport,,,,,,,,,,,,,,70.0,,,,,
40,2020-03-11,148:122,150:120,bus,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-11,150:120,148:122,bus,,,,,,,,,38.0,,,,,,,,,,
40,2020-03-11,150:120,148:122,private_transport,,,,,,,,,17.0,,,,,,,,,,
40,2020-03-11,150:120,111:167,bus,,,,,,,,,15.0,,,,,,,,,,
40,2020-03-11,150:120,87:104,bus,,,,,,,,,,,,,,,,,26.0,10.0,
40,2020-03-11,150:120,87:104,private_transport,,,,,,,,,,,,,,,,,20.0,,
40,2020-03-11,150:120,91:116,bus,,,,,,,,,,,,,,,,,20.0,,
40,2020-03-11,150:120,91:116,private_transport,,,,,,,,,,,,,,,,,17.0,,
40,2020-03-11,150:120,157:129,bus,,,,,,,,,13.0,,,,,,,,,,
40,2020-03-11,150:120,56:416,private_transport,,,,,,,,,,,,,,10.0,,,,,
40,2020-03-11,150:120,150:120,bus,,,,,,,,,13.0,,,,,,,,,,
40,2020-03-11,153:133,86:105,private_transport,,,,,,,,,,,,,12.0,,,,,,
40,2020-03-11,153:133,87:104,bus,,,,,,,,,,,,,11.0,,,,,,
40,2020-03-11,154:132,144:126,bus,,,,,,,,,,,,,19.0,,,,,,
40,2020-03-11,154:132,144:126,private_transport,,,,,,,,,,,,,27.0,,,,,,
40,2020-03-11,154:132,86:105,private_transport,,,,,,,,,,,,,19.0,,,,,,
40,2020-03-11,154:132,87:104,private_transport,,,,,,,,,,,,,14.0,,,,,,
40,2020-03-11,155:131,112:158,bus,,,,12.0,,,,,,,,,,,,,,,
40,2020-03-11,155:131,106:208,bus,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-11,156:130,107:207,bus,,,,37.0,,,,,,,,,,,,,,,
40,2020-03-11,156:130,107:207,private_transport,,,,13.0,,,,,,,,,,,,,,,
40,2020-03-11,156:130,112:158,bus,,,,31.0,,,,,,,,,,,,,,,
40,2020-03-11,156:130,112:158,private_transport,,,,15.0,,,,,,,,,,,,,,,
40,2020-03-11,156:130,106:208,bus,,,,14.0,,,,,,,,,,,,,,,
40,2020-03-11,157:129,64:306,private_transport,,,,,,,20.0,,,,,,,,,,,,
40,2020-03-11,157:129,148:122,bus,,,,17.0,,,,,,,,,,,,,,,
40,2020-03-11,157:129,104:202,bus,,,,,,,,,,,,,,13.0,,,,,
40,2020-03-11,157:129,104:202,private_transport,,,,,,,,,,,,,,28.0,,,,,
40,2020-03-11,157:129,110:168,bus,,,,,,16.0,,,,,,,,,,,,,
40,2020-03-11,157:129,110:168,private_transport,,,,,,26.0,,,,,,,,,,,,,
40,2020-03-11,157:129,111:167,bus,,,,,,10.0,,,,,,,,,,,,,
40,2020-03-11,157:129,111:167,private_transport,,,,,,12.0,,,,,16.0,,,21.0,,,,,
40,2020-03-11,157:129,138:148,private_transport,,,,,,,,,,,,,,12.0,,,,,
40,2020-03-11,157:129,144:126,bus,,,,,,,,,,,,,,,,,,11.0,
40,2020-03-11,157:129,144:126,private_transport,,,,,,,,,,,,,11.0,,,,,,
40,2020-03-11,157:129,160:110,bus,,,,,,,,,,,,,16.0,,,,,,
40,2020-03-11,157:129,159:127,bus,,,,,,,,,,,,,17.0,,,,,,
40,2020-03-11,157:129,159:127,private_transport,,,,,,,,,,,,,25.0,,,,,,
40,2020-03-11,157:129,78:302,private_transport,,,,,,,38.0,,,,,,,,,,,,
40,2020-03-11,157:129,58:303,private_transport,,,,,,,10.0,,,,,,,,,,,,
40,2020-03-11,157:129,108:170,bus,,,,,,,,,,,,,11.0,,,,,,
40,2020-03-11,157:129,96:111,bus,,,,,,,,,,,,,31.0,,,,,,
40,2020-03-11,158:128,64:306,private_transport,,,,,,,10.0,,,,,,,,,,,,
40,2020-03-11,158:128,104:202,private_transport,,,,,,,,,,,,,,10.0,,,,,
40,2020-03-11,158:128,111:167,private_transport,,,,,,,,,10.0,,,,,13.0,,,,,
40,2020-03-11,158:128,159:127,bus,,,,,,,,,,,,,12.0,,,,,,
40,2020-03-11,158:128,78:302,private_transport,,,,,,,14.0,,,,,,,,,,,,
40,2020-03-11,159:127,137:149,bus,,,,,,,,,,16.0,,,,,,,,,
40,2020-03-11,159:127,137:149,private_transport,,,,,,,,,,14.0,,,,,,,,,
40,2020-03-11,160:110,50:412,private_transport,,,,,,,,,,,,,,20.0,,,,,
40,2020-03-11,160:110,64:306,private_transport,,,,,,,,,,,14.0,,,,,,,,
40,2020-03-11,160:110,126:160,bus,,,,,,,,,14.0,,,,,,,,,,
40,2020-03-11,160:110,156:130,private_transport,,,,,,12.0,,,,,,,,,,,,,
40,2020-03-11,276:144,111:167,bus,,,,,,,,,,,,,,30.0,,,,,
40,2020-03-11,276:144,111:167,private_transport,,,,,,,,,,,,,,23.0,,,,,
40,2020-03-11,45:319,25:525,private_transport,,,,,,,,77.0,,68.0,,,,16.0,,,,,
40,2020-03-11,45:319,32:532,private_transport,178.0,,,,,,,,,,,,,,,,,,
40,2020-03-11,45:319,9:509,private_transport,20.0,,,,,,,16.0,,,,,,201.0,,,,,
40,2020-03-11,45:319,104:202,bus,,,,,,,,,,,,,,48.0,,,,,
40,2020-03-11,45:319,104:202,private_transport,,,,,,,,,,,,,,39.0,,,,,
40,2020-03-11,45:319,111:167,bus,,,,,,,,,,,,,,28.0,,,,,
40,2020-03-11,45:319,111:167,private_transport,,,,,,,,,,,,,,29.0,,,,,
40,2020-03-11,45:319,134:136,bus,,,,,,,,,,,,18.0,,,,,,,
40,2020-03-11,45:319,135:135,bus,,,,,,,,,,,,33.0,,,,,,,
40,2020-03-11,45:319,135:135,private_transport,,,,,,,,,,,,20.0,,,,,,,
40,2020-03-11,45:319,88:103,bus,,,,,,32.0,,,,,,,,,,,,,
40,2020-03-11,45:319,88:103,private_transport,,,,,,25.0,,,,,,,,,,,,,
40,2020-03-11,45:319,90:117,bus,,,,,,61.0,,,,,,,,,,,,,
40,2020-03-11,45:319,90:117,private_transport,,,,,,42.0,,,,,,,,,,,,,
40,2020-03-11,45:319,97:102,bus,,,,,,13.0,,,,,,,,,,,,,
40,2020-03-11,45:319,97:102,private_transport,,,,,,13.0,,,,,,,,,,,,,
40,2020-03-11,45:319,6:506,private_transport,,,,,,,,21.0,,28.0,,,,,,,,,
40,2020-03-11,50:412,104:202,private_transport,,81.0,,,,16.0,,,,,,,,,13.0,,,,
40,2020-03-11,50:412,110:168,private_transport,,129.0,,,,,,,,,,,,,,,,,
40,2020-03-11,50:412,111:167,private_transport,,35.0,,,,10.0,,,,,,,,,,,,,
40,2020-03-11,50:412,147:123,private_transport,,20.0,,,,,,,,,,,,,,,,,
40,2020-03-11,50:412,68:315,bus,,,,12.0,,,,,,,,,,,,,,,
40,2020-03-11,51:308,104:202,bus,,,,,,,,14.0,,,,,,,,,,,
40,2020-03-11,51:308,104:202,private_transport,,,,,,,,57.0,,,,,,,,,,,
40,2020-03-11,51:308,111:167,bus,,,,,,,,24.0,,,,,,,,,,,
40,2020-03-11,51:308,111:167,private_transport,,,,,,,,54.0,,,,,,,,,,,
40,2020-03-11,51:308,138:148,private_transport,,,,,,,,10.0,,,,,,,,,,,
40,2020-03-11,58:303,103:203,bus,,,,,,,,,,,,,,14.0,,,,,
40,2020-03-11,58:303,25:525,private_transport,,,,,,,28.0,15.0,,,,,,,,,,,
40,2020-03-11,58:303,32:532,private_transport,,,,,,,12.0,,,,,,,,,,,,
40,2020-03-11,58:303,66:316,private_transport,,,,,,,29.0,,,,,,,,,,,,
40,2020-03-11,58:303,9:509,private_transport,,,,,,,,11.0,,,,,,,,,,,
40,2020-03-11,58:303,104:202,private_transport,,,,,,,,,,,,,,,13.0,,,,
40,2020-03-11,58:303,58:303,bus,,,,,,,,,,,,,,11.0,,,,,
40,2020-03-11,58:303,58:303,private_transport,,,,,,,,,,,,,,10.0,,,,,
40,2020-03-11,61:413,104:202,bus,,,,,,,,,,,,,,,12.0,,,,
40,2020-03-11,61:413,104:202,private_transport,,,,,,,,,,66.0,,,,,,,,,
40,2020-03-11,61:413,111:167,private_transport,,,,,,,,,,48.0,,,,,,,,,
40,2020-03-11,64:306,104:202,private_transport,,,63.0,,,,,,,,,,,74.0,,,,,
40,2020-03-11,64:306,110:168,private_transport,,,83.0,,,,,,,,,,,,,,,,
40,2020-03-11,64:306,111:167,private_transport,,,10.0,,,,,,,,,,,64.0,,,,,
40,2020-03-11,68:315,104:202,private_transport,,,,,,,,,,,,,,13.0,96.0,,,,
40,2020-03-11,68:315,111:167,private_transport,,,,,,,,,,,,,,,81.0,,,,
40,2020-03-11,68:315,138:148,private_transport,,,,,,,,,,,,,,,11.0,,,,
40,2020-03-11,72:411,104:202,private_transport,,,,,,67.0,,,,,,,,,,,,,
40,2020-03-11,72:411,111:167,private_transport,,,,,,62.0,,,,,,,,,,,,,
40,2020-03-11,72:411,138:148,private_transport,,,,,,14.0,,,,,,,,,,,,,
